,Rank,Title,Released,Rating,Genres,Description
180,181,Blade Runner,1982,8.1,"['Action', 'Drama', 'Sci-Fi']",A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
181,182,12 Years a Slave,2013,8.1,"['Biography', 'Drama', 'History']","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
182,183,Before Sunrise,1995,8.1,"['Drama', 'Romance']","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
183,184,The Grand Budapest Hotel,2014,8.1,"['Adventure', 'Comedy', 'Crime']","A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
184,185,Ben-Hur,1959,8.1,"['Adventure', 'Drama']","After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge."
185,186,Barry Lyndon,1975,8.1,"['Adventure', 'Drama', 'War']",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
186,187,Gone Girl,2014,8.1,"['Drama', 'Mystery', 'Thriller']","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
187,188,The Gold Rush,1925,8.1,"['Adventure', 'Comedy', 'Drama']","A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
188,189,Hacksaw Ridge,2016,8.1,"['Biography', 'Drama', 'History']","World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor wit... Read all"
189,190,In the Name of the Father,1993,8.1,"['Biography', 'Crime', 'Drama']",Biography
190,191,Salinui Chueok,2003,8.1,"['Crime', 'Drama', 'Mystery']","In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
191,192,On the Waterfront,1954,8.1,"['Crime', 'Drama', 'Thriller']","An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of ... Read all"
192,193,The General,1926,8.1,"['Action', 'Adventure', 'Comedy']","After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized ... Read all"
193,194,The Deer Hunter,1978,8.1,"['Drama', 'War']",An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.
194,195,Relatos Salvajes,2014,8.1,"['Comedy', 'Drama', 'Thriller']",Six short stories that explore the extremities of human behavior involving people in distress.
195,196,Dead Poets Society,1989,8.1,"['Comedy', 'Drama']","Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of sel... Read all"
196,197,Smultronstället,1957,8.1,"['Drama', 'Romance']",Drama
197,198,Mad Max: Fury Road,2015,8.1,"['Action', 'Adventure', 'Sci-Fi']","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named M... Read all"
